359192.302798928,570510.890752286,2016-01-01
356347.303363174,576182.584509371,2016-01-03
355022.314061166,594096.574686368,2016-01-04
366405.664648153,561372.605677041,2016-01-04
351789.616538364,574513.233568294,2016-01-06
359668.40178183,580213.922545132,2016-01-06
354973.806254769,565890.722626238,2016-01-07
348860.115403108,581021.599026512,2016-01-08
354729.701431495,573272.598389865,2016-01-08
353412.931715637,579304.642229672,2016-01-09
353640.963331396,566501.501715795,2016-01-09
352041.07403533,576318.464481522,2016-01-11
354498.962780888,583046.351104267,2016-01-12
350467.640114582,570856.221452769,2016-01-13
355008.011100701,568340.93430001,2016-01-14
356788.892826233,565965.992810068,2016-01-14
356668.562146866,570390.788585731,2016-01-14
349360.286315604,570424.295700982,2016-01-15
365417.845494574,562777.732364709,2016-01-16
343307.588156744,586146.247195689,2016-01-17
353393.41567602,575304.799950142,2016-01-17
364730.194639421,565563.596322247,2016-01-17
353640.963331396,566501.501715795,2016-01-18
347450.134349573,580585.426192384,2016-01-21
352179.08128052,571468.872415717,2016-01-21
348236.220586889,581073.436925448,2016-01-22
358853.008352595,580348.537770218,2016-01-22
356862.985599626,564825.965329105,2016-01-23
344671.898473876,567588.107186167,2016-01-25
358914.915487487,576122.252637467,2016-01-25
355064.361553108,592105.381260868,2016-01-26
356061.047312697,566742.321137233,2016-01-26
341248.953482923,587301.386726668,2016-01-27
355226.491176305,571383.16059482,2016-01-27
358847.839969952,564568.104609625,2016-01-27
357736.590888219,554594.810287342,2016-01-27
348936.358477322,578391.108030008,2016-01-29
352384.279729535,579807.837049495,2016-01-29
352996.572935971,594059.704826367,2016-01-29
353969.198258827,565682.807929515,2016-01-30
350954.761254597,582755.614525864,2016-01-31
351001.639149798,584629.459392586,2016-01-31
347378.170113221,580786.879515053,2016-02-02
358643.0131668,566034.268883251,2016-02-02
355234.468695882,567340.018279144,2016-02-02
363175.377954254,561422.585726094,2016-02-03
356553.617816662,567176.610933835,2016-02-03
350050.421846987,567669.83273869,2016-02-04
363395.795614529,564751.347333785,2016-02-05
354850.363038276,570358.490496435,2016-02-05
343873.920915704,583812.946077446,2016-02-06
349303.302346501,585491.19918148,2016-02-06
357965.151841088,582322.754932484,2016-02-07
351977.034678967,584540.552536751,2016-02-09
353145.368684823,567563.436299864,2016-02-10
352590.638508134,567869.450027587,2016-02-11
351048.644217621,575625.407269807,2016-02-12
351048.640242233,575625.962611355,2016-02-12
358190.094083,570193.53413486,2016-02-15
351950.209254599,575956.365986205,2016-02-15
352568.930935963,564827.229935321,2016-02-18
349796.169696135,584164.729678445,2016-02-19
351848.687862295,570702.280754043,2016-02-19
347518.984996566,582280.432965248,2016-02-19
352126.681737847,576864.465383909,2016-02-20
351276.869886453,574711.350792944,2016-02-21
349719.994753668,581853.948297824,2016-02-22
355035.083974276,567318.709684289,2016-02-24
359857.980678127,568301.930179876,2016-02-24
352994.462726277,567911.529966483,2016-02-25
358488.486836476,561423.770522144,2016-02-26
350261.929587023,576003.023750114,2016-02-28
355972.934218426,582933.277837667,2016-02-28
351974.589556748,579364.978642898,2016-03-03
350737.705415811,583223.800535556,2016-03-04
358161.75600894,567087.65572457,2016-03-08
346875.248835795,578949.278645404,2016-03-08
352207.75128981,585019.646893316,2016-03-08
350551.219958049,575257.763766208,2016-03-10
350250.327517366,567782.862820838,2016-03-10
352710.683358014,585233.291407486,2016-03-11
349635.872002573,583267.344306458,2016-03-11
359257.528840528,579869.485208301,2016-03-11
354863.46000148,578711.526863585,2016-03-11
352613.122598719,577580.360996178,2016-03-12
354863.46000148,578711.526863585,2016-03-12
349025.028610547,578679.177152775,2016-03-13
355882.48682522,583114.9545913,2016-03-13
348018.932322266,585589.372982202,2016-03-14
351124.829120602,567404.307764249,2016-03-14
352446.089305777,572552.131168026,2016-03-15
348402.011014217,579060.232666156,2016-03-16
351083.337936146,576822.035005471,2016-03-16
363251.627977926,563181.576626181,2016-03-16
350065.921040684,581334.321686771,2016-03-16
355925.134130167,566822.118629865,2016-03-18
350020.20576839,579395.748825955,2016-03-18
351309.539507452,589587.445409014,2016-03-19
352058.459325495,575722.899793162,2016-03-19
356638.689265184,567752.425618557,2016-03-21
349546.543783786,578506.954571863,2016-03-21
346928.018270633,580300.726784996,2016-03-21
351894.715314709,567934.340141701,2016-03-22
350262.847749936,568497.035848942,2016-03-23
349833.368521208,575167.629448322,2016-03-23
359626.629203459,561992.632889168,2016-03-24
351645.425046549,587017.351543617,2016-03-25
356197.294357413,582667.462852089,2016-03-26
359673.547384833,567639.269769257,2016-03-27
346269.639182822,583274.977282033,2016-03-28
353314.237493913,576264.003307102,2016-03-29
355911.435271635,577725.213237977,2016-03-29
356513.3629531,564967.702233777,2016-03-29
356604.22005898,565331.631118102,2016-03-29
348526.70352442,571196.647115805,2016-03-30
353291.945680488,592760.421266783,2016-04-01
